               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032366,            0.019608,            0.033522,             0.73166,             0.57129,             0.60801,             0.48514,            0.016754,           0.0079846,            0.015936,           0.0033322,           0.0033322,             0.07001
                   1,            0.024254,            0.017262,             0.02545,             0.75805,             0.58565,             0.64319,             0.52517,            0.015749,           0.0077375,            0.014847,           0.0066642,           0.0066642,            0.040009
                   2,            0.024028,            0.018063,            0.026069,             0.75976,             0.61062,             0.68506,             0.56468,            0.015199,           0.0075229,            0.013036,            0.009991,            0.009991,            0.010002
                   3,            0.023411,            0.017811,            0.025369,             0.78126,              0.6477,             0.72168,             0.60806,            0.014229,           0.0070487,            0.011652,           0.0099822,           0.0099822,           0.0099822
                   4,            0.022248,            0.017133,            0.023857,             0.78105,               0.679,             0.73898,             0.62739,            0.013753,           0.0068342,            0.010897,           0.0099822,           0.0099822,           0.0099822
                   5,            0.021853,            0.016853,            0.023096,             0.79349,             0.67725,             0.74591,              0.6362,            0.013566,           0.0067357,            0.010514,           0.0099685,           0.0099685,           0.0099685
                   6,            0.021571,            0.016703,            0.022757,             0.78202,             0.69539,             0.75151,             0.64208,            0.013489,            0.006691,            0.010292,           0.0099508,           0.0099508,           0.0099508
                   7,            0.021488,            0.016594,            0.022428,              0.8046,              0.6805,             0.75558,             0.64604,            0.013426,           0.0066581,            0.010147,           0.0099291,           0.0099291,           0.0099291
                   8,            0.021441,            0.016527,            0.022342,             0.78767,             0.69809,              0.7604,             0.65063,             0.01339,           0.0066303,            0.010065,           0.0099037,           0.0099037,           0.0099037
                   9,            0.021301,            0.016446,            0.022071,             0.79905,             0.69282,              0.7672,             0.65766,            0.013372,           0.0066071,           0.0099843,           0.0098743,           0.0098743,           0.0098743
                  10,            0.021178,            0.016413,            0.021874,              0.7957,             0.70013,             0.77285,             0.66322,            0.013377,           0.0065921,           0.0099186,           0.0098412,           0.0098412,           0.0098412
                  11,             0.02116,            0.016372,            0.021823,             0.81476,             0.68567,             0.77722,             0.66743,            0.013354,           0.0065722,           0.0098475,           0.0098042,           0.0098042,           0.0098042
                  12,            0.021043,            0.016261,            0.021712,             0.71138,             0.74611,             0.78133,             0.67191,            0.013346,            0.006555,           0.0098108,           0.0097635,           0.0097635,           0.0097635
                  13,            0.021024,            0.016227,            0.021663,             0.76036,             0.71405,             0.78539,             0.67555,            0.013312,           0.0065347,           0.0097468,           0.0097191,           0.0097191,           0.0097191
                  14,            0.021053,            0.016244,             0.02163,             0.74163,             0.73386,             0.78785,             0.67773,            0.013298,           0.0065171,           0.0096701,            0.009671,            0.009671,            0.009671
                  15,            0.020942,             0.01621,            0.021455,             0.77477,             0.71163,             0.79041,             0.67987,            0.013263,           0.0064997,           0.0096165,           0.0096193,           0.0096193,           0.0096193
                  16,            0.020974,            0.016205,            0.021564,             0.76572,             0.72178,             0.79372,             0.68313,            0.013242,           0.0064919,           0.0095814,            0.009564,            0.009564,            0.009564
                  17,            0.020903,            0.016146,            0.021432,               0.772,             0.71744,             0.79616,             0.68522,            0.013223,           0.0064795,            0.009528,           0.0095052,           0.0095052,           0.0095052
                  18,            0.020838,            0.016115,            0.021349,             0.74504,             0.74734,             0.79759,             0.68695,            0.013207,             0.00647,           0.0095228,            0.009443,            0.009443,            0.009443
                  19,            0.020797,            0.016119,             0.02124,             0.74211,             0.75481,             0.80084,              0.6897,            0.013188,           0.0064593,           0.0095021,           0.0093773,           0.0093773,           0.0093773
                  20,            0.020752,            0.016064,            0.021175,             0.74344,              0.7558,             0.80151,             0.69074,            0.013183,           0.0064485,           0.0094711,           0.0093083,           0.0093083,           0.0093083
